keyword,link,clicks,impressions,ctr(in %),position
dish tv,https://www.dishtv.in/,127456,465118,27.40,1.93
dish tv recharge,https://www.dishtv.in/pages/Instant-Recharge-Payment.aspx,57787,97759,59.11,1.00
dishtv,https://www.dishtv.in/,55227,119631,46.16,1.38
dish tv recharge plan,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,34467,63466,54.31,1.00
dish tv,https://www.dishtv.in/pages/login.aspx,28715,430689,6.67,1.63
dish tv login,https://www.dishtv.in/pages/login.aspx,24440,35512,68.82,1.71
dishtv recharge,https://www.dishtv.in/pages/Instant-Recharge-Payment.aspx,23479,34455,68.14,1.00
dish tv recharge,https://www.dishtv.in/pages/diy/recharge-now.aspx,20456,97789,20.92,2.21
dishtv login,https://www.dishtv.in/pages/login.aspx,16210,21245,76.30,1.18
dish tv,https://www.dishtv.in/pages/Instant-Recharge-Payment.aspx,12822,427148,3.00,1.50
dish tv,https://www.dishtv.in/pages/contactus/contact-info.aspx,12333,398985,3.09,1.05
dish tv recharge plans list,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,12293,30249,40.64,1.01
dishtv,https://www.dishtv.in/pages/login.aspx,10670,114816,9.29,1.33
dish tv customer care number,https://www.dishtv.in/help/default.aspx,10518,277180,3.79,1.16
dish tv channel list,https://www.dishtv.in/channelguide/,10261,22781,45.04,1.54
dishtv recharge,https://www.dishtv.in/pages/diy/recharge-now.aspx,7594,34475,22.03,2.09
my dish tv,https://www.dishtv.in/pages/login.aspx,7322,15060,48.62,1.44
zing super fta box,https://www.dishtv.in/pages/others/landing-pages/zing-super.connection.aspx,7273,33641,21.62,4.22
dish,https://www.dishtv.in/,6640,108314,6.13,4.09
zing super,https://www.dishtv.in/pages/others/landing-pages/zing-super.connection.aspx,6101,15358,39.73,1.84
zing dish tv,https://www.dishtv.in/pages/others/landing-pages/zing-super.connection.aspx,5994,14615,41.01,1.12
dish tv,https://www.dishtv.in/pages/map.aspx,5707,394352,1.45,1.55
www.dishtv.in login,https://www.dishtv.in/pages/login.aspx,5630,8644,65.13,1.00
dish tv recharge plan 3 month,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,5528,15357,36.00,1.26
dish tv recharge offer,https://www.dishtv.in/pages/Instant-Recharge-Payment.aspx,5224,9405,55.54,1.12
dish tv customer care number,https://www.dishtv.in/pages/contactus/contact-info.aspx,5012,281951,1.78,3.14
dishtv recharge plans,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,3912,6522,59.98,1.00
zing super,https://www.dishtv.in/Pages/Others/landing-pages/zing-super-campaign.aspx,3670,10817,33.93,1.27
dish tv recharge plan 6 month,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,3510,9641,36.41,1.01
dth,https://www.dishtv.in/,3362,55753,6.03,2.79
zing digital,https://www.dishtv.in/pages/others/landing-pages/zing-super.connection.aspx,3354,14294,23.46,2.57
dishtv,https://www.dishtv.in/pages/Instant-Recharge-Payment.aspx,3256,110229,2.95,1.18
dish tv plans,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,3132,9572,32.72,1.79
dish tv channel number list pdf download,https://www.dishtv.in/App_Documents/Document/List-Of-Channels.pdf,2912,5251,55.46,1.00
dish tv recharge plan for 1 year,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,2911,8509,34.21,1.01
dishtv channel list,https://www.dishtv.in/channelguide/,2753,4893,56.26,1.45
dish tv,https://www.dishtv.in/help/default.aspx,2722,397268,0.69,1.25
dish tv recharge plan 1 month,https://www.dishtv.in/pages/services/all-in-one-active-pack.aspx,2561,25054,10.22,3.20
dish tv recharge,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,2541,88698,2.86,6.46
dishtv.in,https://www.dishtv.in/,2457,5930,41.43,1.00
dish tv refresh,https://www.dishtv.in/Pages/DIY/Referesh-Your-Account.aspx,2445,3343,73.14,1.00
www.dishtv.in help,https://www.dishtv.in/help/default.aspx,2292,5050,45.39,1.00
dish tv instant recharge,https://www.dishtv.in/pages/Instant-Recharge-Payment.aspx,2249,2793,80.52,1.00
dishtv recharge plan,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,2221,3419,64.96,1.00
dish tv customer care,https://www.dishtv.in/help/default.aspx,2214,55854,3.96,1.08
dish tv,https://www.dishtv.in/pages/welcome/products.aspx,2197,363734,0.60,1.10
dish tv recharge online,https://www.dishtv.in/pages/Instant-Recharge-Payment.aspx,2180,4401,49.53,1.01
dish tv channel number list,https://www.dishtv.in/channelguide/,2160,21559,10.02,2.82
dth recharge,https://www.dishtv.in/pages/Instant-Recharge-Payment.aspx,2143,28569,7.50,3.89
www.dishtv.in,https://www.dishtv.in/,2132,6749,31.59,1.00
dish tv recharge plan,https://www.dishtv.in/pages/packs/single-channel-packages.aspx,2033,63146,3.22,4.55
my dish tv login,https://www.dishtv.in/pages/login.aspx,2033,2744,74.09,1.15
dishtv,https://www.dishtv.in/pages/contactus/contact-info.aspx,1956,109093,1.79,1.12
dish tv recharge offer,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,1947,9403,20.71,2.51
dish tv new connection,https://www.dishtv.in/pages/welcome/products.aspx,1915,13006,14.72,1.10
dish tv recharge plan 3 month,https://www.dishtv.in/pages/Instant-Recharge-Payment.aspx,1888,15355,12.30,2.83
www.dishtv.in complaint,https://www.dishtv.in/Pages/DIY/Complaint-Request-Status-Tracker.aspx,1788,3773,47.39,1.05
dishtv,https://www.dishtv.in/pages/map.aspx,1683,95903,1.75,1.18
zing dish tv,https://www.dishtv.in/Pages/Others/landing-pages/zing-super-campaign.aspx,1667,3876,43.01,1.10
dishtv customer care,https://www.dishtv.in/help/default.aspx,1655,32666,5.07,1.12
dishtv refresh,https://www.dishtv.in/Pages/DIY/Referesh-Your-Account.aspx,1644,2078,79.11,1.00
zing super fta box,https://www.dishtv.in/Pages/Others/landing-pages/zing-super-campaign.aspx,1600,8024,19.94,3.01
dish tv packages,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,1598,6348,25.17,5.19
dish tv recharge plans list 12 months,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,1504,4167,36.09,1.00
dish tv remote,https://www.dishtv.in/pages/offers/universal-remote.aspx,1501,19638,7.64,2.10
dish tv offer,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,1457,5439,26.79,1.18
distv,https://www.dishtv.in/,1431,4072,35.14,1.19
dish tv recharge,https://www.dishtv.in/hi-in/pages/Instant-Recharge-Payment.aspx,1428,81125,1.76,5.05
dish tv sports channel number,https://www.dishtv.in/channelguide/top-sports.aspx,1407,4407,31.93,1.63
dishtv.in login,https://www.dishtv.in/pages/login.aspx,1395,1775,78.59,1.00
dish tv part time job,https://www.dishtv.in/pages/others/dishtv-freelance-jobs.aspx,1373,1591,86.30,1.00
dishtv part time job,https://www.dishtv.in/pages/others/dishtv-freelance-jobs.aspx,1342,1515,88.58,1.01
zing super fta box 4 year free,https://www.dishtv.in/pages/others/landing-pages/zing-super.connection.aspx,1256,11336,11.08,5.38
dish tv customer care,https://www.dishtv.in/pages/contactus/contact-info.aspx,1219,56692,2.15,3.10
dish tv online recharge,https://www.dishtv.in/pages/Instant-Recharge-Payment.aspx,1219,1999,60.98,1.00
dish tv recharge plan,https://www.dishtv.in/pages/Instant-Recharge-Payment.aspx,1175,54460,2.16,6.44
dish tv customer care no,https://www.dishtv.in/help/default.aspx,1144,32530,3.52,1.16
dishtv instant recharge,https://www.dishtv.in/pages/Instant-Recharge-Payment.aspx,1126,1351,83.35,1.00
dish tv recharge plan 3 month with channel list,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,1098,3504,31.34,1.01
dish tv plan,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,1096,3380,32.43,1.05
my dishtv,https://www.dishtv.in/pages/login.aspx,1067,1807,59.05,1.07
zing super fta box official website,https://www.dishtv.in/pages/others/landing-pages/zing-super.connection.aspx,1058,2433,43.49,1.70
my dish tv,https://www.dishtv.in/pages/welcome/jpmilesmember.aspx,1047,13858,7.56,2.77
dish tv recharge plans,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,1045,1735,60.23,1.00
zinc super,https://www.dishtv.in/pages/others/landing-pages/zing-super.connection.aspx,1041,2942,35.38,1.96
dish tv channel number list pdf download,https://www.dishtv.in/App_Documents/Document/channel-list.pdf,1020,5246,19.44,2.09
zing digital,https://www.dishtv.in/Pages/Others/landing-pages/zing-super-campaign.aspx,1019,4373,23.30,2.40
recharge dish tv,https://www.dishtv.in/pages/Instant-Recharge-Payment.aspx,990,2022,48.96,1.00
dishtv customer care number,https://www.dishtv.in/help/default.aspx,977,20076,4.87,1.03
dish,https://www.dishtv.in/pages/login.aspx,962,85960,1.12,2.36
dish tv 1 year plan channel list,https://www.dishtv.in/pages/packs/single-channel-packages.aspx,961,3828,25.10,1.01
dish recharge,https://www.dishtv.in/pages/Instant-Recharge-Payment.aspx,934,2283,40.91,1.00
dishtv recharge online,https://www.dishtv.in/pages/Instant-Recharge-Payment.aspx,920,1541,59.70,1.00
dishtv customer care,https://www.dishtv.in/pages/contactus/contact-info.aspx,917,33151,2.77,3.07
dish tv new connection,https://www.dishtv.in/pages/others/landing-pages/dth-hd-set-top-box-750-offer.aspx,916,13438,6.82,3.63
www dishtv in,https://www.dishtv.in/,908,3751,24.21,1.00
dish tv channel,https://www.dishtv.in/channelguide/,903,3439,26.26,1.32
dish tv recharge online,https://www.dishtv.in/pages/diy/recharge-now.aspx,889,4407,20.17,2.11
